,Departamento,Municipio,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Year,Fluido,prod_anual,trimestre_1,trimestre_2,trimestre_3,trimestre_4
0,ANTIOQUIA,PUERTO NARE,ECOPETROL S.A.,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,1290.88838709677,1232.14785714286,1146.54709677419,1183.47233333333,1264.54193548387,1201.59633333333,1276.36161290323,1326.87032258065,1404.01266666667,1218.92483870968,1333.641,1373.87677419355,2018,Petroleo,15252.881158218128,3669.5833410138202,3649.61060215053,4007.2446021505502,3926.44261290323
1,ANTIOQUIA,PUERTO NARE,MANSAROVAR ENERGY COLOMBIA LTD,NARE,NARE SUR,219.071290322581,296.282142857143,253.438064516129,268.973666666667,198.92,201.418,217.023548387097,232.066129032258,231.530333333333,219.620322580645,220.538,206.710322580645,2018,Petroleo,2765.591820276498,768.791497695853,669.311666666667,680.620010752688,646.86864516129
2,ANTIOQUIA,PUERTO NARE,MANSAROVAR ENERGY COLOMBIA LTD,NARE,UNDERRIVER,800.340322580645,880.071071428572,849.291290322581,803.070666666667,893.215161290322,833.914333333333,716.132580645161,764.11064516129,841.353,718.08,703.047333333333,704.885161290323,2018,Petroleo,9507.511566052228,2529.702684331798,2530.2001612903223,2321.596225806451,2126.012494623656
3,ANTIOQUIA,PUERTO TRIUNFO,ECOPETROL S.A.,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,289.36,273.959642857143,284.51064516129,303.409,313.306774193548,291.206333333333,283.16064516129,287.052580645161,167.184,278.158064516129,275.627333333333,225.902580645161,2018,Petroleo,3272.8375998463875,847.830288018433,907.9221075268811,737.3972258064509,779.687978494623
4,ANTIOQUIA,YONDO,ECOPETROL S.A.,MAGDALENA MEDIO,CASABE,11363.2558064516,10968.1310714286,10280.5090322581,10223.189,10178.0783870968,11257.1596666667,10668.5909677419,10729.054516129,11065.853,10798.6903225806,10508.9543333333,10601.7612903226,2018,Petroleo,128643.2273940092,32611.8959101383,31658.4270537635,32463.4984838709,31909.4059462365
5,ANTIOQUIA,YONDO,ECOPETROL S.A.,MAGDALENA MEDIO,CASABE SUR,2133.67483870968,2017.4575,2124.93903225806,2116.31566666667,1975.7,2109.94366666667,2116.83225806452,2058.21774193548,2008.698,2062.71064516129,2013.58733333333,1942.4935483871,2018,Petroleo,24680.5702311828,6276.07137096774,6201.95933333334,6183.748,6018.79152688172
6,ANTIOQUIA,YONDO,ECOPETROL S.A.,MAGDALENA MEDIO,PEÑAS BLANCAS,1007.65225806452,975.953571428571,1071.33677419355,1107.762,1059.57612903226,1066.905,1187.38483870968,1189.12967741935,1075.14466666667,1041.73225806452,1145.91233333333,1095.5635483871,2018,Petroleo,13024.05305529955,3054.9426036866407,3234.24312903226,3451.6591827957,3283.2081397849497
7,ANTIOQUIA,SONSÓN,INGENIERIA CONSTRUCCIONES Y EQUIPOS CONEQUIPOS ING S.A.S.,VMM 12,WOLF,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Petroleo,0.0967741935483871,0.0967741935483871,0.0,0.0,0.0
8,ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,CHIPIRÓN,8582.90322580645,8855.53571428571,8665.45161290323,8558.33333333333,8224.83870967742,8052.7,8151.25806451613,8141.45161290323,7974.13333333333,7692.38709677419,7854.7,7919.45161290323,2018,Petroleo,98673.14431643626,26103.89055299539,24835.872043010753,24266.843010752687,23466.53870967742
9,ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,GALEMBO,218.41935483871,262.857142857143,228.548387096774,200.966666666667,175.258064516129,173.433333333333,165.483870967742,121.483870967742,95.9333333333333,105.064516129032,105.7,134.387096774194,2018,Petroleo,1987.5356374807993,709.824884792627,549.658064516129,382.9010752688173,345.151612903226
10,ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,MACANA,362.161290322581,399.928571428571,354.41935483871,340.533333333333,340.322580645161,342.033333333333,324.741935483871,243.806451612903,230.9,240.612903225806,242.6,259.483870967742,2018,Petroleo,3681.543625192011,1116.509216589862,1022.8892473118271,799.4483870967739,742.696774193548
11,ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,MATANEGRA OESTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0967741935484,37.9666666666667,36.2258064516129,40.2333333333333,40.1290322580645,2018,Petroleo,170.65161290322578,0.0,0.0,54.063440860215096,116.58817204301069
12,ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO LIMÓN,21124.0322580645,20791.2857142857,20802.5806451613,21055.2333333333,20472.6129032258,21320.3666666667,21791.935483871,21435.7419354839,21162.8333333333,21003.1935483871,21053.0666666667,20978.3548387097,2018,Petroleo,252991.237327189,62717.8986175115,62848.212903225794,64390.5107526882,63034.6150537635
13,ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO YARUMAL,3768.8064516129,3549.39285714286,3646.03225806452,3675.93333333333,3457.25806451613,3393.93333333333,3491.0,3538.29032258065,3310.5,3308.16129032258,3340.76666666667,3411.09677419355,2018,Petroleo,41891.17135176653,10964.231566820281,10527.12473118279,10339.79032258065,10060.024731182799
14,ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,TONINA,16.1290322580645,22.3214285714286,22.2903225806452,24.4333333333333,21.5483870967742,21.9333333333333,22.1935483870968,23.258064516129,21.8666666666667,23.8064516129032,19.4333333333333,27.3870967741935,2018,Petroleo,266.60099846390165,60.74078341013829,67.9150537634408,67.3182795698925,70.62688172042999
15,ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,ARAGUATO,242.322580645161,248.535714285714,230.774193548387,236.966666666667,188.548387096774,187.466666666667,165.483870967742,143.354838709677,102.666666666667,34.1612903225806,209.133333333333,192.774193548387,2018,Petroleo,2182.1884024577566,721.632488479262,612.981720430108,411.505376344086,436.06881720430056
16,ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,BAYONERO,659.709677419355,568.428571428571,494.387096774194,470.066666666667,440.903225806452,429.833333333333,381.290322580645,341.58064516129,285.033333333333,323.0,346.0,384.161290322581,2018,Petroleo,5124.394162826421,1722.5253456221199,1340.803225806452,1007.904301075268,1053.161290322581
17,ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,CHIPIRÓN,178.677419354839,174.928571428571,169.225806451613,165.233333333333,156.129032258065,155.9,152.516129032258,154.677419354839,133.733333333333,138.096774193548,138.1,137.677419354839,2018,Petroleo,1854.895238095238,522.831797235023,477.26236559139795,440.92688172043,413.874193548387
18,ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,JIBA UNIFICADO,110.225806451613,93.0357142857143,105.645161290323,92.4333333333333,105.774193548387,102.666666666667,99.9354838709678,95.3548387096774,90.2666666666667,91.9354838709677,88.5,80.6451612903226,2018,Petroleo,1156.4185099846397,308.90668202765033,300.8741935483873,285.5569892473119,261.0806451612903
